species,origin,redlist
Viola odorata,arch,NA
Viola palustris,native,NA
Viola pumila,native,C2t
Viola reichenbachiana,native,NA
Viola riviniana,native,NA
Viola riviniana agg.,native,NA
Viola riviniana var. minor,native,C4b
Viola riviniana var. riviniana,native,NA
Viola rupestris,native,C3
Viola rupestris subsp. rupestris,native,C3
Viola septemloba,neo,NA
Viola sororia,neo,NA
Viola stagnina,native,C2t
Viola suavis,NA,NA
Viola suavis subsp. suavis,NA,NA
Viola tricolor,native,C3
Viola tricolor agg.,native,NA
Viola tricolor subsp. curtisii,native,C2b
Viola tricolor subsp. polychroma,native,C3
Viola tricolor subsp. saxatilis,native,C3
Viola tricolor subsp. tricolor,native,C4b
Viola uliginosa,native,A3
Viscaria vulgaris,native,NA
Viscum album,native,NA
Viscum album subsp. abietis,native,C3
Viscum album subsp. album,native,NA
Viscum album subsp. austriacum,native,C4a
Vitis labrusca,NA,NA
Vitis riparia,neo,NA
Vitis vinifera,native,NA
Vitis vinifera subsp. vinifera,arch,NA
Vulpia bromoides,arch,C1t
Vulpia ciliata,neo,NA
Vulpia ligustica,neo,NA
Vulpia myuros,arch,C3
Waldsteinia geoides,neo,NA
Waldsteinia ternata,neo,NA
Waldsteinia ternata subsp. trifolia,neo,NA
Weigela floribunda,NA,NA
Weigela florida,NA,NA
Willemetia stipitata,native,C3
Willemetia stipitata subsp. stipitata,native,C3
Wisteria sinensis,neo,NA
Wolffia arrhiza,native,C1b
Woodsia alpina,native,A1
Woodsia ilvensis,native,C2r
Xanthium x kostalii,neo,NA
Xanthium albinum,neo,NA
Xanthium orientale agg.,neo,NA
Xanthium ripicola,neo,NA
Xanthium saccharatum,neo,NA
Xanthium spinosum,neo,NA
Xanthium strumarium,arch,C1t
Xanthocyparis nootkatensis,NA,NA
Xeranthemum annuum,native,C1t
Xerochrysum bracteatum,neo,NA
Yucca flaccida,neo,NA
Zannichellia palustris,native,NA
Zea mays,neo,NA
Zelkova serrata,neo,NA
Zinnia elegans,neo,NA
